"species","code","title","timing","scope","severity","score","invasive"
"Milvus milvus","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Milvus milvus","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Milvus milvus","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Milvus milvus","5.1.3","Persecution/control","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Milvus milvus","5.3","Logging & wood harvesting","Ongoing","Majority (50-90%)","No decline","Low Impact: 5",NA
"Milvus milvus","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","No decline","Low Impact: 5",NA
"Milvus milvus","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Milvus milvus","9.3.3","Herbicides and pesticides","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus aeruginosus","1.1","Housing & urban areas","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Circus aeruginosus","11.2","Droughts","Future","Majority (50-90%)","Unknown","Unknown",NA
"Circus aeruginosus","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus aeruginosus","2.1.3","Agro-industry farming","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus aeruginosus","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus aeruginosus","2.3.2","Small-holder grazing, ranching or farming","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus aeruginosus","3.3","Renewable energy","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus aeruginosus","4.2","Utility & service lines","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Circus aeruginosus","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Circus aeruginosus","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus aeruginosus","5.1.2","Unintentional effects (species is not the target)","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Circus aeruginosus","5.1.3","Persecution/control","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus aeruginosus","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus aeruginosus","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus aeruginosus","7.2","Dams & water management/use","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Circus aeruginosus","7.2.4","Abstraction of surface water (unknown use)","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Circus aeruginosus","9.1","Domestic & urban waste water","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Circus aeruginosus","9.1.1","Sewage","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Circus aeruginosus","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus aeruginosus","9.2.3","Type Unknown/Unrecorded","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus aeruginosus","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus aeruginosus","9.3.3","Herbicides and pesticides","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus cyaneus","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Circus cyaneus","2.1.3","Agro-industry farming","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Circus cyaneus","2.2","Wood & pulp plantations","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Circus cyaneus","2.2.2","Agro-industry plantations","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Circus cyaneus","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus cyaneus","5.1.3","Persecution/control","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Circus cyaneus","7.1","Fire & fire suppression","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Circus cyaneus","7.1.1","Increase in fire frequency/intensity","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Circus cyaneus","7.2","Dams & water management/use","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Circus cyaneus","7.2.4","Abstraction of surface water (unknown use)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Circus cyaneus","8.2","Problematic native species/diseases (Sus scrofa)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Sus scrofa"
"Circus cyaneus","8.2.2","Named species (Sus scrofa)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Sus scrofa"
"Accipiter gentilis","2.2","Wood & pulp plantations","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Accipiter gentilis","2.2.2","Agro-industry plantations","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Accipiter gentilis","3.3","Renewable energy","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Accipiter gentilis","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Accipiter gentilis","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Accipiter gentilis","5.1.3","Persecution/control","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Accipiter gentilis","5.3","Logging & wood harvesting","Ongoing","Majority (50-90%)","Unknown","Unknown",NA
"Accipiter gentilis","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Unknown","Unknown",NA
"Accipiter gentilis","6.3","Work & other activities","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Accipiter gentilis","7.1","Fire & fire suppression","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Accipiter gentilis","7.1.1","Increase in fire frequency/intensity","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Accipiter gentilis","8.2","Problematic native species/diseases (Bubo bubo)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Bubo bubo"
"Accipiter gentilis","8.2.2","Named species (Bubo bubo)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Bubo bubo"
"Accipiter gentilis","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Accipiter gentilis","9.3.3","Herbicides and pesticides","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Accipiter nisus","2.2","Wood & pulp plantations","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Accipiter nisus","2.2.2","Agro-industry plantations","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Accipiter nisus","3.3","Renewable energy","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Accipiter nisus","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Accipiter nisus","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Accipiter nisus","5.1.2","Unintentional effects (species is not the target)","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Accipiter nisus","5.1.3","Persecution/control","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Accipiter nisus","7.1","Fire & fire suppression","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Accipiter nisus","7.1.1","Increase in fire frequency/intensity","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Accipiter nisus","9.3","Agricultural & forestry effluents","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Accipiter nisus","9.3.3","Herbicides and pesticides","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Buteo buteo","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Buteo buteo","2.1.3","Agro-industry farming","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Buteo buteo","3.3","Renewable energy","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Buteo buteo","4.1","Roads & railroads","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Buteo buteo","4.2","Utility & service lines","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Buteo buteo","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Buteo buteo","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Buteo buteo","5.1","Hunting & trapping terrestrial animals","Ongoing","Whole (>90%)","Negligible declines","Medium Impact: 6",NA
"Buteo buteo","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Buteo buteo","5.1.2","Unintentional effects (species is not the target)","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Buteo buteo","5.1.3","Persecution/control","Ongoing","Whole (>90%)","Negligible declines","Medium Impact: 6",NA
"Buteo buteo","9.3","Agricultural & forestry effluents","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Buteo buteo","9.3.3","Herbicides and pesticides","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Aquila chrysaetos","11.1","Habitat shifting & alteration","Ongoing","Whole (>90%)","Unknown","Unknown",NA
"Aquila chrysaetos","11.2","Droughts","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Aquila chrysaetos","2.2","Wood & pulp plantations","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Aquila chrysaetos","2.2.2","Agro-industry plantations","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Aquila chrysaetos","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Aquila chrysaetos","2.3.3","Agro-industry grazing, ranching or farming","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Aquila chrysaetos","3.3","Renewable energy","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Aquila chrysaetos","4.2","Utility & service lines","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Aquila chrysaetos","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Aquila chrysaetos","5.1.3","Persecution/control","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Aquila chrysaetos","8.5","Viral/prion-induced diseases","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Aquila chrysaetos","8.5.1","Unspecified species","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Aquila chrysaetos","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Aquila chrysaetos","9.3.3","Herbicides and pesticides","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Pandion haliaetus","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Pandion haliaetus","2.1.4","Scale Unknown/Unrecorded","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Pandion haliaetus","2.2","Wood & pulp plantations","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Pandion haliaetus","2.2.3","Scale Unknown/Unrecorded","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Pandion haliaetus","3.3","Renewable energy","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Pandion haliaetus","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Pandion haliaetus","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Pandion haliaetus","5.1.2","Unintentional effects (species is not the target)","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Pandion haliaetus","5.1.3","Persecution/control","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Pandion haliaetus","6.1","Recreational activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Pandion haliaetus","9.3","Agricultural & forestry effluents","Past, Unlikely to Return","Minority (<50%)","Negligible declines","Past Impact",NA
"Pandion haliaetus","9.3.3","Herbicides and pesticides","Past, Unlikely to Return","Minority (<50%)","Negligible declines","Past Impact",NA
"Falco tinnunculus","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Falco tinnunculus","2.1.3","Agro-industry farming","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Falco tinnunculus","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco tinnunculus","2.3.2","Small-holder grazing, ranching or farming","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco tinnunculus","3.3","Renewable energy","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco tinnunculus","4.2","Utility & service lines","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco tinnunculus","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Falco tinnunculus","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Falco tinnunculus","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco tinnunculus","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco tinnunculus","7.1","Fire & fire suppression","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco tinnunculus","7.1.1","Increase in fire frequency/intensity","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco tinnunculus","8.2","Problematic native species/diseases (Accipiter gentilis)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Accipiter gentilis"
"Falco tinnunculus","8.2.2","Named species (Accipiter gentilis)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Accipiter gentilis"
"Falco tinnunculus","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Falco tinnunculus","9.2.3","Type Unknown/Unrecorded","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Falco tinnunculus","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Falco tinnunculus","9.3.3","Herbicides and pesticides","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Falco columbarius","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco columbarius","2.1.3","Agro-industry farming","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco columbarius","2.3","Livestock farming & ranching","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Falco columbarius","2.3.3","Agro-industry grazing, ranching or farming","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Falco columbarius","3.3","Renewable energy","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco columbarius","4.2","Utility & service lines","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Falco columbarius","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco columbarius","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco columbarius","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco columbarius","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco columbarius","6.1","Recreational activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco columbarius","8.2","Problematic native species/diseases (Vulpes vulpes)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes vulpes"
"Falco columbarius","8.2.2","Named species (Vulpes vulpes)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes vulpes"
"Falco columbarius","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Falco columbarius","9.2.3","Type Unknown/Unrecorded","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Falco columbarius","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco columbarius","9.3.3","Herbicides and pesticides","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco subbuteo","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco subbuteo","2.1.3","Agro-industry farming","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco subbuteo","3.3","Renewable energy","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco subbuteo","4.1","Roads & railroads","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco subbuteo","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco subbuteo","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Falco subbuteo","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Falco subbuteo","5.1.2","Unintentional effects (species is not the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco subbuteo","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Falco subbuteo","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Falco subbuteo","6.3","Work & other activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco subbuteo","8.2","Problematic native species/diseases (Accipiter gentilis)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Accipiter gentilis"
"Falco subbuteo","8.2.2","Named species (Accipiter gentilis)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Accipiter gentilis"
"Falco subbuteo","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco subbuteo","9.3.3","Herbicides and pesticides","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","11.3","Temperature extremes","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Falco peregrinus","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","2.3.2","Small-holder grazing, ranching or farming","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","3.3","Renewable energy","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","4.1","Roads & railroads","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","4.2","Utility & service lines","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Falco peregrinus","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Falco peregrinus","5.1.3","Persecution/control","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","6.1","Recreational activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","6.3","Work & other activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","7.1","Fire & fire suppression","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","7.1.1","Increase in fire frequency/intensity","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","9.2.1","Oil spills","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Falco peregrinus","9.3","Agricultural & forestry effluents","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Falco peregrinus","9.3.3","Herbicides and pesticides","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Lagopus lagopus","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"Lagopus muta","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"Tetrao urogallus","11.3","Temperature extremes","Ongoing","Unknown","Unknown",NA,NA
"Alectoris rufa","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7",NA
"Alectoris rufa","2.1.3","Agro-industry farming","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7",NA
"Alectoris rufa","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Alectoris rufa","2.3.3","Agro-industry grazing, ranching or farming","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Alectoris rufa","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Causing/Could cause fluctuations","Medium Impact: 6",NA
"Alectoris rufa","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Causing/Could cause fluctuations","Medium Impact: 6",NA
"Alectoris rufa","8.3","Introduced genetic material","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"Alectoris rufa","9.3","Agricultural & forestry effluents","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Alectoris rufa","9.3.3","Herbicides and pesticides","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Rallus aquaticus","11.3","Temperature extremes","Ongoing","Minority (<50%)","Rapid Declines",NA,NA
"Rallus aquaticus","11.4","Storms & flooding","Future","Minority (<50%)","Rapid Declines",NA,NA
"Porzana porzana","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Slow, Significant Declines",NA,NA
"Porzana porzana","7.2","Dams & water management/use","Future","Whole (>90%)","Slow, Significant Declines",NA,NA
"Porzana porzana","7.2.4","Abstraction of surface water (unknown use)","Future","Whole (>90%)","Slow, Significant Declines",NA,NA
"Crex crex","11.4","Storms & flooding","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Crex crex","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Crex crex","2.1.3","Agro-industry farming","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"Crex crex","4.1","Roads & railroads","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Crex crex","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Crex crex","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Crex crex","6.1","Recreational activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Crex crex","7.3","Other ecosystem modifications","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Crex crex","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Felis catus"
"Crex crex","8.1","Invasive non-native/alien species/diseases (Neovison vison)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Neovison vison"
"Crex crex","8.1.2","Named species (Felis catus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Felis catus"
"Crex crex","8.1.2","Named species (Neovison vison)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Neovison vison"
"Crex crex","8.2","Problematic native species/diseases","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Crex crex","8.2.1","Unspecified species","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"Fulica atra","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Fulica atra","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Fulica atra","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"Fulica atra","5.1.2","Unintentional effects (species is not the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Fulica atra","5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Fulica atra","5.4.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Fulica atra","7.1","Fire & fire suppression","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Fulica atra","7.1.1","Increase in fire frequency/intensity","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Fulica atra","7.2","Dams & water management/use","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Fulica atra","7.2.3","Abstraction of surface water (agricultural use)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Fulica atra","7.3","Other ecosystem modifications","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Fulica atra","8.1","Invasive non-native/alien species/diseases (Neovison vison)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Neovison vison"
"Fulica atra","8.1.2","Named species (Neovison vison)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Neovison vison"
"Fulica atra","8.5","Viral/prion-induced diseases","Past, Likely to Return","Majority (50-90%)","Rapid Declines","Past Impact",NA
"Fulica atra","8.5.2","Named species","Past, Likely to Return","Majority (50-90%)","Rapid Declines","Past Impact",NA
"Fulica atra","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"Fulica atra","9.2.1","Oil spills","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
